class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
e;1.32;c;g;n;f;a;;g;4.41;1.28;;;g;;;f;f;;l;a
p;4.41;x;h;o;f;a;c;n;4.18;6.21;;y;o;;;t;z;;d;w
e;9.23;o;;n;f;;;w;4.5;20.78;;;n;;;f;f;;d;a
p;3.16;f;w;n;t;d;c;y;3.13;5.61;;;n;;;f;f;;d;u
e;3.71;x;h;n;f;;c;n;5.85;6.52;;s;w;;w;f;f;k;d;a
p;8.88;p;y;w;f;;;k;19.23;19.34;;;w;;;f;f;;d;a
e;7.23;f;;g;f;s;c;u;6.22;15.54;;;b;;;f;f;;d;a
p;9.87;x;s;y;f;s;;p;8.85;17.94;;i;n;;;f;f;;d;u
p;6.59;x;g;n;f;e;;w;8.58;12.09;;y;w;u;w;t;p;;d;u
e;8.8;x;s;w;t;e;;g;9.01;16.55;s;;w;;;t;l;;m;u
p;3.78;f;k;n;f;s;;p;4.15;3.11;;;n;;;f;f;p;g;a
p;8.94;x;e;y;t;p;;o;7.64;22.47;;;u;;;f;f;;d;u
e;17.49;p;d;o;f;p;;n;15.52;33.65;s;y;w;;;f;f;;d;a
p;8.3;x;;n;t;x;;n;8.07;19.4;s;;g;;u;f;f;;d;a
p;3.03;x;t;n;f;s;c;n;5.74;9.32;;;w;;n;t;z;;d;u
e;18.82;f;y;n;f;;;w;26.4;20.21;s;;n;;;t;m;;d;a
p;4.82;f;l;e;f;x;d;n;6.13;5.05;;;y;;;f;f;;d;u
p;2.16;x;s;o;f;d;;o;2.87;5.07;;;y;;;f;f;;m;a
p;1.92;b;g;o;f;;c;n;6.92;3.65;;;n;;;f;f;;m;s
p;7.42;f;t;e;f;x;d;w;5.95;16.59;b;;w;;;f;f;;d;a
e;10.15;p;i;n;t;e;;p;8.88;18.45;;y;w;;;t;l;;l;a
e;19.92;p;d;e;f;p;;n;15.05;35.6;s;y;w;;;f;f;;d;u
p;2.19;c;;u;f;a;c;w;3.48;3.63;;i;u;;;f;f;;d;u
e;8.82;f;h;o;f;s;;n;9.64;13.62;;i;n;;;f;f;;d;a
p;2.18;b;g;y;f;;c;n;7.31;3.67;;;n;;;f;f;;d;u
e;6.52;p;y;w;f;e;c;n;5.08;11.66;;;w;;w;t;e;;m;a
p;7.26;c;k;w;t;x;c;p;7.32;12.97;;;w;;;f;f;;d;u
e;8.53;p;;g;f;a;;w;6.79;13.3;;;w;;;f;f;;g;u
p;2.35;b;;n;f;a;;g;5.48;2.31;;s;g;;;f;f;;d;u
p;9.42;s;t;p;t;d;c;p;7.61;14.56;;;p;;;t;f;;d;u
e;52.16;o;y;y;f;p;;y;6.45;41.86;;k;k;;;f;f;;d;u
e;5.41;x;;y;f;e;;w;6.2;12.15;b;;y;u;y;t;g;;d;a
e;9.37;s;;n;f;s;c;u;7.04;19.41;;;u;;;f;f;;l;w
p;4.84;x;;e;f;x;;w;5.93;7.27;;;w;;;f;f;;d;u
e;3.53;f;t;n;f;d;;o;6.17;8.64;;t;o;;;f;f;;d;w
p;6.06;p;g;n;f;e;;w;6.99;11.9;;y;w;u;w;t;p;;d;a
e;7.36;x;t;y;f;p;;y;5.93;13.44;;;y;;y;t;;;d;u
e;8.7;x;s;n;f;e;c;w;6.98;9.65;;i;n;;;f;f;p;d;w
e;6.15;x;h;n;f;x;c;w;6.46;7.38;;y;n;;;t;r;;d;u
e;6.83;x;h;y;f;p;;y;6.45;13.9;;;y;;y;t;;;d;u
e;1.42;x;t;y;f;d;;w;5.02;1.61;;t;y;;;f;f;;d;a
e;6.75;f;t;n;f;s;;n;8.95;12.99;;t;o;;;f;f;;d;a
p;8.58;s;;y;t;d;;o;5.96;13.03;;;w;;;t;f;;d;a
p;12.58;f;t;n;t;d;c;n;5.73;15.32;;;n;;;f;f;;d;u
p;3.84;x;k;w;f;s;;p;4.44;3.14;;;n;;;f;f;p;g;u
e;6.66;f;d;b;f;d;d;o;6.15;12.39;;;w;;;f;f;;g;a
p;3.24;x;s;y;f;;c;y;8.14;7.57;;;y;u;w;t;z;k;d;u
p;11.9;x;;n;f;e;;w;10.86;15.9;;;w;u;w;t;e;;d;u
p;2.17;c;t;y;f;;;y;8.77;3.28;;;y;;;f;f;;g;a
p;4.23;f;l;n;f;x;d;e;6.16;4.83;;;y;;;f;f;;l;a
p;3.68;f;t;n;f;x;c;p;5.36;4.05;;i;g;;;f;f;;d;u
p;9.15;f;;w;f;x;c;w;10.36;11.99;r;i;w;;;f;f;;d;u
e;8.54;p;y;n;t;e;;p;8.56;17.77;;y;w;;;t;l;;d;a
p;1.61;p;t;n;f;a;c;n;7.31;2.46;;t;y;;;t;e;;m;s
e;5.24;o;l;n;f;f;f;f;6.66;51.28;;;n;;;f;f;g;l;a
e;4.27;x;s;o;f;p;;n;6.27;11.81;;;e;;;f;f;;d;u
e;9.34;f;d;w;f;s;c;w;6.79;31.97;;;w;;;f;f;;m;u
